,alligator@aalto.fi,ant@aalto.fi,armadillo@aalto.fi,bear@aalto.fi,bee@aalto.fi,butterfly@aalto.fi,cat@aalto.fi,caterpillar@aalto.fi,deer@aalto.fi,dog@aalto.fi,dove@aalto.fi,duck@aalto.fi,eagle@aalto.fi,elephant@aalto.fi,fox@aalto.fi,goose@aalto.fi,hamster@aalto.fi,hare@aalto.fi,horse@aalto.fi,ladybug@aalto.fi,mantis@aalto.fi,mouse@aalto.fi,owl@aalto.fi,panda@aalto.fi,peacock@aalto.fi,pig@aalto.fi,rabbit@aalto.fi,scorpion@aalto.fi,seagull@aalto.fi,seal@aalto.fi,sealion@aalto.fi,spider@aalto.fi,squirrel@aalto.fi,turtle@aalto.fi,vulture@aalto.fi
10,-1275.6773154190532,-282.6737825405311,-5748.314045758656,-147.42941439615564,-5289.0724442421815,-2552.7341657796646,-6295.778599054642,-95.39022225599761,-2613.2391382517803,-259.9963181140778,-190.2808745445061,-2482.0853080371235,-5896.574054310004,-53.08895618649945,-7090.905750695415,-366.2756933491375,-343.53162565130964,-5705.8181263381375,-3217.68244290433,-1344.0985584998484,-447.1353071216667,-1431.840259573954,-4311.8867474380395,-2703.5878188702254,-4408.460318616027,-833.5435388659433,-5798.288506871186,-5523.299596567953,-3367.283284248343,-1495.1916273065358,-3420.0833085461923,-308.9678655376557,-4043.3462196615433,-4618.083925019848,-1593.9859459019308
11,-1358.7355032859289,-300.18333661027714,-6045.467767930568,-155.98167315285997,-5375.622564082649,-2707.5484116548582,-6505.541841188344,-100.30646135600027,-2769.618887613363,-274.9137806120714,-202.49645121241952,-2567.1926123519806,-5979.654307699372,-53.871523143301516,-7453.034070544499,-387.7897642769957,-366.2145619649241,-5783.947530139438,-3456.6010426237976,-1426.1466980301452,-470.64381374746824,-1512.0041277971027,-4408.801920573212,-2860.8926852822015,-4577.753214537801,-866.4821357039732,-5879.8192963724905,-5686.527238155261,-3407.128750883349,-1596.1973231699099,-3578.7781562340165,-326.7034202196693,-4094.3889932153925,-4754.209828819852,-1682.972543230618
12,-1450.841337954334,-320.04877767638413,-6371.437074128942,-165.6953336724938,-5473.768179029053,-2883.069733231974,-6738.545612810989,-105.89376974585299,-2941.346791549633,-291.84199589087666,-216.35950180113653,-2663.7295406405647,-6073.857860996171,-54.77714326840657,-7836.615839881641,-412.19451741781734,-391.947949505999,-5872.533028025435,-3725.3516943650475,-1519.173143870422,-497.31295748185806,-1602.8960289669221,-4518.68420436331,-3036.517632745844,-4769.716335634424,-903.8383611466211,-5972.26848783325,-5868.407247320109,-3452.3145499911816,-1710.7061229296885,-3758.7014284166953,-346.8290627206323,-4152.26615036506,-4908.563779531061,-1783.8694791333837
13,-1553.62412471655,-342.9919564364557,-6725.923410171894,-176.9218578431915,-5587.089807863508,-3085.6678024139196,-6997.612089259075,-112.3532233191154,-3132.1486772730614,-311.39529865607074,-232.37274705221654,-2775.2189303488435,-6182.618952938912,-55.83586507384138,-8245.003934421089,-440.3774669744987,-421.6670440169162,-5974.805190336347,-4020.697208034362,-1626.5132008387945,-528.1123439044436,-1707.8251172022174,-4645.241394914885,-3236.7932609541704,-4991.35035393424,-946.9716404823739,-6079.00766719632,-6075.552003123879,-3504.4894582748007,-1842.773441607027,-3966.4114007437956,-370.075650590401,-4219.089126715907,-5086.773245826535,-1900.350019817969
14,-1671.9513468846912,-370.13475244363246,-7120.754957632612,-190.2093142507005,-5721.138920564292,-3324.55602995797,-7289.786663602303,-119.99944444830925,-3348.421331851405,-334.52923291154985,-251.3184408299828,-2906.986955157189,-6311.262676204957,-57.097662629455364,-8688.7398173772,-473.7171312281032,-456.8252112106478,-6095.772913544817,-4343.410838957869,-1751.8477589085842,-564.5482497549581,-1831.8731601470295,-4792.609739655155,-3463.672962955189,-5253.4828213911715,-997.992154754248,-6205.264147346888,-6318.913059975243,-3566.2104028079593,-1997.6456006417125,-4212.076205647497,-397.5795499176644,-4298.131816239713,-5297.544595318943,-2037.9899385789538
15,-1809.1587406565677,-403.35859135694443,-7571.737015938278,-206.47835200943953,-5885.212402939438,-3611.8630198482306,-7633.170518631785,-129.36169290962937,-3594.995933237523,-362.8468145461232,-274.50893091630667,-3066.3457643342444,-6468.709531325051,-58.6490072150187,-9172.566198905972,-514.5246711886766,-499.85962676259334,-6243.826006824811,-4699.904727965302,-1896.9067819698953,-609.1461112450168,-1982.8518785587166,-4971.540476765571,-3736.249327911516,-5573.404751012914,-1060.4351539095715,-6359.787813465555,-6613.657508140488,-3641.761023555365,-2184.8739113740503,-4512.721901543653,-431.24698319950755,-4394.878513818026,-5554.8274900267315,-2204.5854968457907
16,-1976.3937552707694,-446.1914492272598,-8105.961126256443,-227.4566350410813,-6096.651848194178,-3965.489577174098,-8047.2888137686505,-141.43372393757912,-3896.31207285822,-399.35167886353486,-304.39710649499335,-3269.200962227147,-6671.654172132867,-60.65431138830329,-9723.340217958732,-567.1330550490825,-555.3401719270835,-6434.662833305542,-5108.711904543226,-2070.4764135220894,-666.62634836215,-2172.896108130029,-5199.774395813594,-4070.107454691246,-5974.610597599447,-1140.89640382349,-6558.758760874825,-6992.3241388609795,-3739.1701762291686,-2423.3853926883503,-4899.987085886674,-474.65292963638933,-4519.605128050598,-5879.125878010744,-2411.963539243792
17,-2193.422651442289,-506.5518429590831,-8795.13510365228,-257.021932885031,-6391.9115599922925,-4402.403299389939,-8576.02266871558,-158.44715784310205,-4283.9890838650845,-450.48051408903757,-345.7803065404312,-3551.101570924432,-6955.221990871465,-63.484681881561954,-10411.453542264782,-641.2457272856617,-633.5217513973585,-6702.138087928054,-5608.63793796623,-2290.570536114791,-745.8553897520953,-2427.824183868423,-5507.030095361601,-4497.3254034709735,-6511.308591969193,-1252.388988286718,-6835.978088010544,-7513.118384226145,-3876.4553576060957,-2738.303514999673,-5436.950194888994,-535.8219594679508,-4694.4814468399345,-6314.596279918393,-2683.1951821123257
18,-2519.38711067175,-609.6579467087331,-9815.87147476554,-306.0516164783721,-6883.429225216994,-5032.552574677251,-9331.352990089872,-187.51701911995025,-4844.6229406135135,-531.5457484654899,-410.84130164468985,-4005.490888365917,-7429.344124123654,-68.32547405006939,-11367.464702125077,-762.9123345388483,-766.1468630785012,-7151.753331106765,-6298.345099030783,-2604.0623371548872,-873.7491205430562,-2809.307131599011,-5996.678145948083,-5104.951389052512,-7313.785375006656,-1427.955105950844,-7300.2124799095545,-8330.839750759125,-4111.050738940834,-3203.3540571319977,-6300.386195196482,-640.3325273803848,-4985.843864303991,-7005.7724105747,-3072.734708311457
19,-3468.1166931063444,-989.725364418573,-14595.196253344788,-490.99282554093855,-10660.466138698435,-6941.637956446277,-12641.039111506063,-335.8132830351442,-6611.646516285539,-858.4073626656897,-632.5966225310104,-7350.636000765642,-10913.554309632498,-112.16707774209793,-15197.04977950748,-1111.4499592032398,-1190.8185650476642,-10737.688373414127,-8165.016779433482,-3456.546756860963,-1455.290951147507,-4150.285303119422,-9174.83755724585,-6811.995215731487,-12152.993706934883,-2145.2811301265847,-10823.353496777185,-12846.23832824107,-6088.965617760341,-4526.608242861497,-9781.538242135746,-1157.0393955827226,-7547.553529671685,-11125.208007476944,-4378.172421314041
20,-669.6066478022854,-160.35707707201652,-3475.945554741348,-92.1824068515169,-4224.042539387374,-1440.2631352808708,-4525.59421614144,-65.38709693442848,-1459.6485407084067,-157.0515307028134,-108.08017630453526,-1740.5383237604087,-4834.312165787961,-53.78326728271548,-4206.629103818657,-216.28884735732294,-186.80040475161962,-4667.945518613317,-1555.7907146420462,-760.4190810929838,-278.50517302288506,-821.7409029353855,-3321.654531833695,-1574.0419727091191,-3026.84772545493,-585.91581698999,-4749.511574702113,-4080.9140170243586,-2728.459878648894,-775.9836938348237,-2214.755930069251,-179.73995457728796,-3271.8555521949497,-3378.8297840904715,-949.4991035437247
21,-706.6508033745333,-165.7756119073162,-3617.050431696902,-93.45914010681518,-4262.149017902992,-1509.0861624613985,-4620.542533089694,-64.96980257830631,-1532.2494608009642,-161.24098945075139,-111.03892777047874,-1777.6529287752414,-4870.887304860488,-51.458243543505255,-4391.305339907225,-223.62911947504642,-194.09671380870142,-4702.437510493912,-1663.3576143710143,-795.6144760877005,-286.70604620502854,-859.2912869911197,-3364.1532139001056,-1644.7273803386875,-3102.667711726802,-598.4036194917164,-4785.414221870397,-4154.3892833314885,-2745.3252905233585,-819.9340369234267,-2285.431798614491,-185.32046007413095,-3293.879394651296,-3439.420122139326,-987.9079073409566
22,-746.78140393241,-172.439701222005,-3766.9438392259094,-95.73153772666166,-4303.022611529172,-1582.6953168725972,-4721.657662402324,-65.49598725158933,-1609.9350096575117,-166.60077107638307,-115.1233155020056,-1817.466905775432,-4910.104041628952,-49.927864774134285,-4587.361552593398,-232.31243753119628,-202.91410170314074,-4739.409234142158,-1777.9754154815962,-833.7713485143165,-296.26790968382113,-899.8590893553685,-3409.7574705785546,-1720.1727756827013,-3183.448072889281,-612.5502067780264,-4823.921692951216,-4232.747151126327,-2763.6788200535443,-867.3408673190428,-2360.980216565593,-192.07806448449986,-3317.714058576789,-3504.1385508465273,-1029.4259288794715
23,-789.9848040433571,-180.17802614661315,-3926.366786163645,-98.80794411925649,-4346.759857778342,-1661.3431253523395,-4829.337766071865,-66.74282414794163,-1692.9020943483854,-172.95773765434447,-120.13216832265432,-1860.1130898734443,-4952.083117142583,-48.977799843126,-4795.716331367712,-242.17055823978342,-213.06035911989233,-4778.973119970555,-1900.0979490126974,-874.8817007322887,-307.0584866841419,-943.4455046227466,-3458.598577029405,-1800.6470849037285,-3269.551823329402,-628.2294621701747,-4865.138543827008,-4316.305069299135,-2783.506478938706,-918.249446200293,-2441.6662143148615,-199.8798341429149,-3343.360866976469,-3573.2243320838343,-1074.0855075612983
24,-836.4075018987216,-188.8931398168486,-4096.380502670439,-102.56313478650867,-4393.582117231099,-1745.461408874946,-4944.244701075764,-68.5579381873392,-1781.6013919098184,-180.20908770928037,-125.94449903542889,-1905.8208378503277,-4997.042990945373,-48.45394853129365,-5017.767789895393,-253.1220238948431,-224.43025716201535,-4821.331927674841,-2030.463459936081,-919.082529700957,-319.01662663251557,-990.2290445369035,-3510.9280753186395,-1886.6170554420828,-3361.514662997553,-645.4007380713442,-4909.273411369489,-4405.563641235481,-2804.862386413457,-972.8676023074329,-2527.9380604762173,-208.6525677501209,-3370.9061867340993,-3647.0775421134376,-1122.0586374191244
25,-886.3265183795043,-198.54790188340922,-4278.344196696082,-106.92313712956029,-4443.8200937075535,-1835.6573284200372,-5067.266290254357,-70.84198678131985,-1876.6780039640935,-188.3084345011818,-132.49816057781007,-1954.917068148467,-5045.299017871675,-48.24653206209685,-5255.307643744246,-265.15142278669316,-236.99006145362455,-4866.779695828246,-2170.066777224343,-966.6338759178644,-332.14118278630764,-1040.50830787636,-3567.1128928561247,-1978.7256817234816,-3460.046545356464,-664.0967422505593,-4956.63428097999,-4501.199974393088,-2827.862859096818,-1031.5438343572184,-2620.423205861353,-218.37381155576168,-3400.5131725859183,-3726.250039706121,-1173.6424367738555
26,-940.146243075056,-209.15707128529024,-4473.961148224555,-111.85496322512395,-4497.9174564783125,-1932.7305365089312,-5199.536227235152,-73.5362933420194,-1978.979693687943,-197.2571240180023,-139.77803239589045,-2007.8367676929893,-5097.272696716678,-48.27839687802774,-5510.573213607317,-278.2994118303546,-250.7684344175438,-4915.711070030937,-2320.1843992879794,-1017.917525731325,-346.4853475662164,-1094.696715435123,-3627.6445489911266,-2077.806549619473,-3566.055073761024,-684.4181811839261,-5007.635371415479,-4604.086867000327,-2852.686513950971,-1094.768568785592,-2719.945733321825,-229.06679884661213,-3432.4218469447983,-3811.459264377141,-1229.2610170934563
27,-998.4129191578616,-220.78368673885026,-4685.368826422072,-117.36043200351347,-4556.449742410714,-2037.7118742761866,-5342.489675043373,-76.61449523931547,-2089.596346569576,-207.10017870041048,-147.810073777696,-2065.144354817625,-5153.511986119824,-48.49653591277856,-5786.363603104581,-292.6597229634739,-265.8531902902681,-4968.640507202907,-2482.4374359310436,-1073.451190941516,-362.1561429401168,-1152.9116418436977,-3693.162272609331,-2184.92381598436,-3680.6913474632274,-706.5349680891411,-5062.815902453756,-4715.335602423811,-2879.5807151457916,-1163.1936115224237,-2827.565948010685,-240.79925135694396,-3466.9576311942133,-3903.6224816301988,-1289.482465089736
28,-1061.8461232191921,-233.5403719745217,-4915.264562292147,-123.47366617381607,-4620.159507638912,-2151.9285535025865,-5497.9553696003,-80.07755582481298,-2209.928323309274,-217.92678110646986,-156.66005484115135,-2127.569241607004,-5214.725717457401,-48.866077331774804,-6086.1940339844705,-308.38226762272666,-282.39408896427744,-5026.234516197768,-2658.895637035485,-1133.9188638078454,-379.3194580574559,-1213.0907290599928,-3764.4929789294515,-2301.439848653019,-3805.4238811744262,-730.6947174535799,-5122.873282432238,-4836.366435442156,-2908.8756425962893,-1237.6710627702191,-2944.6472059923763,-253.68642780967568,-3504.54977226831,-4003.9147437549595,-1355.0528066121838
29,-1131.3854502463885,-247.59642882872313,-5166.6309683235195,-130.26232942152424,-4690.0131357021155,-2277.106866241517,-5668.297027055894,-83.95187245456512,-2341.780022237271,-229.87589964904822,-166.4370270881641,-2196.0619953698415,-5281.838202013126,-49.36620231708651,-6413.6878612606015,-325.6831090399081,-300.61282828662286,-5089.362828492627,-2852.2385157438844,-1200.2223787589207,-398.2119948700473,-1277.8711946081175,-3842.714972527064,-2429.1206634788778,-3942.1528968258317,-757.2405576558614,-5188.71643769342,-4969.017469017979,-2941.008734086824,-1319.3180088112647,-3072.9612805444,-267.89948669430873,-3545.7630751409915,-4113.859900611789,-1426.9526888873077
30,-1207.9657097769812,-263.1927687881716,-5440.220929854864,-137.83334711875895,-4767.2907623419305,-2415.5334863795547,-5856.618393102821,-88.29067714731883,-2486.954404335996,-243.14871947113605,-177.30270245886092,-2271.8828535002967,-5356.075404655958,-49.98764974370897,-6762.289920196257,-344.86377903151197,-320.8229457255198,-5159.1792670348705,-3066.004730300191,-1273.564910053583,-419.16305773717863,-1349.5284053185492,-3929.258518674615,-2570.2915335762673,-4093.388224514508,-786.6424642238602,-5261.550292739736,-5115.688390041412,-2976.5648037123533,-1409.6202145376574,-3214.8538325496315,-283.68139051940364,-3591.349670094552,-4235.473084808963,-1506.4885059579117
31,-1291.4771913548448,-280.6689076103221,-5738.120155282542,-146.34499174797483,-4853.731423720119,-2570.315091628795,-6066.662146203942,-93.17963534889185,-2644.340139909583,-258.0314280088592,-189.48954435303796,-2356.7445549075715,-5439.104040471852,-50.73167763682037,-7128.5774430732,-366.345160792677,-343.4651574361335,-5237.252425040485,-3304.9546914703556,-1355.5871790415945,-442.63201611076437,-1429.6661210915865,-4026.0679182581125,-2727.804069182558,-4262.53446291539,-819.5503414494411,-5343.012277771093,-5279.195848270736,-3016.341958595205,-1510.6002844861196,-3373.5107193495915,-301.37474739815065,-3642.3337466264684,-4371.489631259177,-1595.4405731097613
32,-1383.9324742477786,-300.5106347046885,-6066.971716231965,-156.02941801072336,-4951.777016690421,-2745.8134629143356,-6300.978351489952,-98.74885651735221,-2816.8115280333195,-274.935666220413,-203.33349272649505,-2453.052358598229,-5533.265462087024,-51.61064232883686,-7518.543421757972,-390.72656406363706,-369.1693398390272,-5325.785534569433,-3574.472938016762,-1448.5967513879068,-469.2731312044042,-1520.5400559059435,-4135.864673091842,-2903.846764158933,-4454.368836584137,-856.8852676205322,-5435.401910083787,-5461.459505229917,-3061.4633111309354,-1625.0970452370452,-3553.405090378472,-321.47040429013856,-3700.1548483498336,-4525.749067449342,-1696.3129167480806
33,-1487.1248306383281,-323.4367010765273,-6425.685080053365,-167.23454057607773,-5065.006524959467,-2948.41005303584,-6562.053705720078,-105.19632741860846,-3008.8161045584493,-294.47226556464324,-219.3340706528012,-2564.3297075696723,-5641.992085232231,-52.650878195245376,-7932.254919210947,-418.8925695800409,-398.86695630042954,-5428.008045603714,-3873.388510575407,-1555.9605774577321,-500.0524748214112,-1625.4577340538835,-4262.475461524048,-3104.6676755506387,-4675.89015929265,-900.0035570291423,-5542.089562383691,-5668.954452705944,-3113.576538586484,-1757.1926554369613,-3761.0928280914113,-344.69544719498913,-3766.9235690285723,-4703.877348138109,-1812.7770295393761
34,-1606.4671072008955,-350.5668652361654,-6823.532596893959,-180.50593239808472,-5198.970221944954,-3187.619452456651,-6855.784961983927,-112.83458368281055,-3226.985752427399,-317.5943473137415,-238.27137156859754,-2695.979109309528,-5770.607599001512,-53.89973683627256,-8383.280272934246,-452.21968295688146,-434.00880387617855,-5548.928172289432,-4200.1619205297075,-1681.8322577976624,-536.4738516659577,-1749.5246157423862,-4410.283936145388,-3332.949800703767,-4937.939816352389,-951.0133236407594,-5668.301765832192,-5912.883459117204,-3175.2378644028854,-1912.2601866574776,-4006.7404714520226,-372.1835642529651,-3845.9132955481095,-4914.5876979512495,-1950.472304786832
35,-1745.2446649798826,-383.7811033735579,-7280.513862979124,-196.76249582100755,-5362.965957720738,-3476.1303841604363,-7202.2189902572645,-122.19148366816782,-3476.364055877071,-345.90330983033823,-261.45637032714023,-2855.724209281174,-5928.031596536128,-55.44185020960205,-8876.893732503893,-493.0176851676496,-477.03033525616684,-5696.935806253444,-4562.915436074644,-1828.5843480419335,-581.0610827176386,-1900.9337157208074,-4589.203600675093,-3606.2957019956243,-5258.239983232073,-1013.4493771656867,-5822.791699737471,-6207.58004175398,-3250.7304760434954,-2099.946704011936,-4307.376836423282,-405.8390866521373,-3942.6080560609403,-5172.1852971025655,-2117.3558231667466
36,-1913.6267420215554,-426.6064047619506,-7820.752545815181,-217.73069243251223,-5574.373790818767,-3832.9586908146916,-7621.436491338636,-134.2598502305441,-3779.6214229367356,-382.4031281811548,-291.3453758521382,-3058.5558991879625,-6130.972238642347,-57.44035489289743,-9436.985708480755,-545.6187139944172,-532.5003249225429,-5887.741170456726,-4978.044223313742,-2003.935440910232,-638.5399667023286,-2092.1340077674827,-4818.049059626898,-3943.4491077706743,-5661.7281093240545,-1093.9172616507594,-6021.891757048009,-6586.495120124248,-3348.0829355239002,-2339.3500147600644,-4694.74621548685,-449.2356681006016,-4067.284550875204,-5497.804499952597,-2326.0431918086174
37,-2132.925375119742,-486.9606401169586,-8519.699825135325,-247.2880783309867,-5870.315532653193,-4278.213403653673,-8158.277308932828,-151.27069486236852,-4174.019980543,-433.69440659491846,-332.9695683830061,-3341.1629477519405,-6415.166309414038,-60.26548898458805,-10137.481833923204,-619.7354221424125,-610.6740234167248,-6155.407646794215,-5487.754766074196,-2227.2280953318113,-718.0045936292265,-2348.3698407096417,-5127.401073988257,-4376.900304075176,-6202.0160648418005,-1205.660190876686,-6299.717463800238,-7109.649349878277,-3485.3125528769065,-2657.869935671553,-5233.789941760664,-510.39697202495654,-4242.5403271520245,-5936.7611572613405,-2602.2019321146245
38,-2463.746049876606,-590.0733565197045,-9556.224620577983,-296.9662511632758,-6363.629711186977,-4917.7434736539135,-8928.380995646505,-180.3388379832719,-4744.957333704112,-515.5218790429741,-398.43588417653143,-3799.679615467596,-6889.998470406854,-65.10203635945936,-11116.680581885495,-742.8988506363687,-743.7611542128905,-6606.1150983598955,-6194.2804790773935,-2548.2494712666403,-846.3638783033448,-2735.28230872597,-5621.409743296207,-4998.593443426878,-7018.095548285576,-1383.2931464679082,-6764.731620037371,-7936.343626108486,-3719.8537224905986,-3132.1224448109224,-6106.779365975607,-614.9025497191576,-4534.0760678016895,-6633.0450638660695,-2996.8001808063145
39,-3457.723901722649,-985.2194415916802,-14468.159474991957,-487.81779851852366,-10164.091813094938,-6915.596530860066,-12310.566388689189,-333.2189924162737,-6593.043376700791,-854.5545214788856,-629.9998928482102,-7179.685002559754,-10404.496413320174,-108.94873671641673,-15065.44402556767,-1106.9563429182213,-1186.9564615453473,-10202.459932329028,-8153.3175446155665,-3438.9632806601853,-1450.120945816268,-4130.812707769824,-8840.479499414305,-6785.061804654774,-11938.610735282531,-2125.152620386926,-10315.166654198387,-12538.512395498494,-5701.906344780094,-4515.41028176418,-9696.233993022992,-1147.3581711062766,-7097.836396762871,-10822.073461798453,-4356.931910885194
