,user,domain,teacher_md,is_item_specific,begin_with_active,first_ss_av_time,last_ss_av_time,n_ss_done,n_eval_leitner,n_recall_leitner,n_eval_act,n_recall_act
50,orangutan@active.fi,active.fi,forward,True,False,2020-09-30 12:30:00+03:00,2020-10-06 12:36:40+03:00,14,56.0,48.0,52.0,44.0
51,parrot@active.fi,active.fi,forward,True,True,2020-10-01 12:00:00+03:00,2020-10-07 12:06:40+03:00,14,60.0,56.0,60.0,50.0
52,piranha@active.fi,active.fi,forward,True,True,2020-10-01 22:00:00+03:00,2020-10-07 22:06:40+03:00,14,62.0,54.0,80.0,77.0
54,sealion@active.fi,active.fi,forward,True,True,2020-09-30 12:00:00+03:00,2020-10-06 12:06:40+03:00,14,48.0,30.0,39.0,17.0
55,shark@active.fi,active.fi,threshold,True,True,2020-10-01 14:00:00+03:00,2020-10-07 14:06:40+03:00,14,60.0,56.0,107.0,62.0
56,spider@active.fi,active.fi,threshold,True,True,2020-09-30 18:00:00+03:00,2020-10-06 18:06:40+03:00,14,53.0,39.0,91.0,71.0
58,sturgeon@active.fi,active.fi,forward,True,False,2020-10-01 18:00:00+03:00,2020-10-07 18:06:40+03:00,14,56.0,47.0,55.0,49.0
59,swan@active.fi,active.fi,forward,True,False,2020-10-01 21:00:00+03:00,2020-10-07 21:06:40+03:00,14,62.0,58.0,71.0,71.0
60,swordfish@active.fi,active.fi,threshold,True,False,2020-09-30 14:00:00+03:00,2020-10-06 14:06:40+03:00,14,36.0,20.0,57.0,16.0
61,tadpole@active.fi,active.fi,forward,True,True,2020-09-30 18:00:00+03:00,2020-10-06 18:06:40+03:00,14,63.0,56.0,58.0,50.0
62,termite@active.fi,active.fi,threshold,True,False,2020-10-01 11:00:00+03:00,2020-10-07 11:06:40+03:00,14,59.0,55.0,111.0,92.0
63,turtle@active.fi,active.fi,forward,True,True,2020-09-30 18:00:00+03:00,2020-10-06 18:06:40+03:00,14,64.0,64.0,85.0,84.0
31,elk@active.fi,active.fi,forward,True,False,2020-09-30 18:00:00+03:00,2020-10-06 18:06:40+03:00,14,52.0,45.0,43.0,37.0
64,vulture@active.fi,active.fi,threshold,True,True,2020-10-01 13:00:00+03:00,2020-10-07 13:06:40+03:00,14,60.0,58.0,113.0,108.0
16,betta@active.fi,active.fi,forward,True,True,2020-09-30 20:00:00+03:00,2020-10-06 20:06:40+03:00,14,57.0,43.0,60.0,52.0
8,anemone@active.fi,active.fi,threshold,True,True,2020-10-01 10:00:00+03:00,2020-10-07 10:06:40+03:00,14,49.0,35.0,74.0,42.0
11,azalea@active.fi,active.fi,threshold,True,False,2020-10-01 23:55:00+03:00,2020-10-08 00:01:40+03:00,14,39.0,31.0,67.0,30.0
12,barracuda@active.fi,active.fi,forward,True,True,2020-09-30 16:00:00+03:00,2020-10-06 16:06:40+03:00,14,48.0,32.0,58.0,44.0
13,bear@active.fi,active.fi,threshold,True,True,2020-09-30 09:00:00+03:00,2020-10-06 09:06:40+03:00,14,62.0,53.0,111.0,79.0
14,bee@active.fi,active.fi,forward,True,False,2020-09-30 12:00:00+03:00,2020-10-06 12:06:40+03:00,14,53.0,41.0,42.0,35.0
15,beetle@active.fi,active.fi,threshold,True,False,2020-09-30 19:00:00+03:00,2020-10-06 19:06:40+03:00,14,48.0,40.0,75.0,39.0
28,dolphin@active.fi,active.fi,forward,True,False,2020-09-30 14:45:00+03:00,2020-10-06 14:51:40+03:00,14,61.0,57.0,47.0,42.0
17,bird@active.fi,active.fi,threshold,True,True,2020-09-30 10:00:00+03:00,2020-10-06 10:06:40+03:00,14,63.0,61.0,141.0,138.0
18,buffalo@active.fi,active.fi,threshold,True,True,2020-09-30 19:00:00+03:00,2020-10-06 19:06:40+03:00,14,54.0,45.0,83.0,49.0
19,butterfly@active.fi,active.fi,forward,True,False,2020-09-30 18:00:00+03:00,2020-10-06 18:06:40+03:00,14,63.0,62.0,77.0,76.0
21,cat@active.fi,active.fi,forward,True,True,2020-09-30 06:45:00+03:00,2020-10-06 06:51:40+03:00,14,60.0,57.0,75.0,72.0
7,amaryllis@active.fi,active.fi,forward,True,True,2020-10-01 17:30:00+03:00,2020-10-07 17:36:40+03:00,14,52.0,35.0,42.0,20.0
22,caterpillar@active.fi,active.fi,forward,True,False,2020-09-30 11:00:00+03:00,2020-10-06 11:06:40+03:00,14,48.0,35.0,53.0,36.0
6,amaranthus@active.fi,active.fi,threshold,True,False,2020-10-01 16:00:00+03:00,2020-10-07 16:06:40+03:00,14,59.0,51.0,115.0,90.0
23,cicada@active.fi,active.fi,threshold,True,True,2020-09-30 21:00:00+03:00,2020-10-06 21:06:40+03:00,14,58.0,48.0,88.0,53.0
24,clownfish@active.fi,active.fi,forward,True,False,2020-09-30 21:00:00+03:00,2020-10-06 21:06:40+03:00,14,58.0,52.0,56.0,51.0
25,crab@active.fi,active.fi,threshold,True,True,2020-09-30 07:30:00+03:00,2020-10-06 07:36:40+03:00,14,64.0,59.0,103.0,82.0
4,alchemilla@active.fi,active.fi,threshold,True,True,2020-10-01 20:00:00+03:00,2020-10-07 20:06:40+03:00,14,58.0,47.0,106.0,76.0
26,crow@active.fi,active.fi,threshold,True,False,2020-09-30 09:45:00+03:00,2020-10-06 09:51:40+03:00,14,63.0,63.0,111.0,81.0
27,cuckoo@active.fi,active.fi,forward,True,True,2020-09-30 16:00:00+03:00,2020-10-06 16:06:40+03:00,14,60.0,56.0,66.0,63.0
3,ageratum@active.fi,active.fi,forward,True,True,2020-10-01 12:30:00+03:00,2020-10-07 12:36:40+03:00,14,63.0,60.0,68.0,68.0
9,armadillo@active.fi,active.fi,forward,True,True,2020-09-30 06:45:00+03:00,2020-10-06 06:51:40+03:00,14,61.0,61.0,74.0,70.0
10,aster@active.fi,active.fi,forward,True,False,2020-10-01 15:00:00+03:00,2020-10-07 15:06:40+03:00,12,,,,
29,eagle@active.fi,active.fi,threshold,True,False,2020-09-30 18:30:00+03:00,2020-10-06 18:36:40+03:00,10,,,,
20,camel@active.fi,active.fi,threshold,True,False,2020-09-30 11:00:00+03:00,2020-10-06 11:06:40+03:00,10,,,,
57,stag@active.fi,active.fi,threshold,True,True,2020-10-01 17:00:00+03:00,2020-10-07 17:06:40+03:00,7,,,,
39,hare@active.fi,active.fi,forward,True,True,2020-09-30 10:00:00+03:00,2020-10-06 10:06:40+03:00,7,,,,
5,allium@active.fi,active.fi,forward,True,False,2020-10-01 15:00:00+03:00,2020-10-07 15:06:40+03:00,6,,,,
35,frog@active.fi,active.fi,forward,True,True,2020-10-01 17:00:00+03:00,2020-10-07 17:06:40+03:00,6,,,,
0,acacia@active.fi,active.fi,forward,True,True,2020-10-01 10:00:00+03:00,2020-10-07 10:06:40+03:00,6,,,,
1,aconite@active.fi,active.fi,forward,True,False,2020-10-01 17:00:00+03:00,2020-10-07 17:06:40+03:00,4,,,,
2,agapanthus@active.fi,active.fi,threshold,True,False,2020-10-01 20:00:00+03:00,2020-10-07 20:06:40+03:00,4,,,,
41,kiwi@active.fi,active.fi,threshold,True,True,2020-09-30 09:30:00+03:00,2020-10-06 09:36:40+03:00,2,,,,
53,seabass@active.fi,active.fi,threshold,True,False,2020-09-30 08:30:00+03:00,2020-10-06 08:36:40+03:00,1,,,,
